context,old_irish,latin,old_english,lithuanian,old_church_slavonic,albanian,greek,armenian,hittite,avestan,sanskrit,tocharian_b
p.cons,F,T,T,T,T,T,T,T,T,T,T,T
p.ant,F,F,T,F,F,F,F,F,F,F,F,F
p.obstr,F,T,T,T,T,T,T,T,T,T,T,T
p.lab,F,T,F,T,T,T,T,F,T,T,T,T
p.cont,F,F,T,F,F,F,F,T,F,F,F,F
b.cons,T,T,T,T,T,T,T,T,T,T,T,T
b.obstr,T,T,T,T,T,T,T,T,T,T,T,T
b.lab,T,T,T,T,T,T,T,T,T,T,T,T
b.voice,T,T,F,T,T,T,T,F,F,T,T,F
bʰ.cons,T,T,T,T,T,T,T,T,T,T,T,T
bʰ.obstr,T,T,T,T,T,T,T,T,T,T,T,T
bʰ.cont,F,T,F,F,F,F,F,F,F,F,F,F
bʰ.voice,T,F,T,T,T,T,F,T,F,T,T,F
bʰ.lab,T,F,T,T,T,T,T,T,T,T,T,T
bʰ.spread,F,F,F,F,F,F,T,F,F,F,T,F
bʰ.ant,F,T,F,F,F,F,F,F,F,F,F,F
t.cons,T,T,T,T,T,T,T,T,T,T,T,T
t.obstr,T,T,T,T,T,T,T,T,T,T,T,T
t.cor,T,T,T,T,T,T,T,T,T,T,T,T
t.cont,F,F,T,F,F,F,F,F,F,F,F,F
t.distr,F,F,T,F,F,F,F,F,F,F,F,F
t.spread,F,F,F,F,F,F,F,T,F,F,F,F
t.ant,T,T,T,T,T,T,T,T,T,T,T,T
ti.cons,T,T,T,T,T,T,T,T,T,T,T,T
ti.obstr,T,T,T,T,T,T,T,T,T,T,T,T
ti.cor,T,T,T,T,T,T,T,T,T,T,T,T
ti.cont,F,F,T,F,F,F,F,F,F,F,F,F
ti.distr,F,F,T,F,F,F,F,F,F,F,F,T
ti.spread,F,F,F,F,F,F,F,T,F,F,F,F
ti.ant,T,T,T,T,T,T,T,T,T,T,T,F
ti.high,F,F,F,F,F,F,F,F,F,F,F,T
d.cons,T,T,T,T,T,T,T,T,T,T,T,T
d.ant,T,T,T,T,T,T,T,T,T,T,T,T
d.obstr,T,T,T,T,T,T,T,T,T,T,T,T
d.cor,T,T,T,T,T,T,T,T,T,T,T,T
d.voice,T,T,F,T,T,T,T,F,F,T,T,F
di.cons,T,T,T,T,T,T,T,T,T,T,T,T
di.obstr,T,T,T,T,T,T,T,T,T,T,T,T
di.cor,T,T,T,T,T,T,T,T,T,T,T,T
di.delrel,F,F,F,F,F,F,F,F,F,F,F,T
di.voice,T,T,F,T,T,T,T,F,F,T,T,F
di.ant,T,T,T,T,T,T,T,T,T,T,T,T
dʰ.cons,T,T,T,T,T,T,T,T,T,T,T,T
dʰ.obstr,T,T,T,T,T,T,T,T,T,T,T,T
dʰ.cor,T,F,T,T,T,T,T,T,T,T,T,T
dʰ.cont,F,T,F,F,F,F,F,F,F,F,F,F
dʰ.voice,T,F,T,T,T,T,F,T,F,T,T,F
dʰ.spread,F,F,F,F,F,F,T,F,F,F,T,F
dʰ.ant,T,T,T,T,T,T,T,T,T,T,T,T
dʰi.cons,T,T,T,T,T,T,T,T,T,T,T,T
dʰi.obstr,T,T,T,T,T,T,T,T,T,T,T,T
dʰi.cor,T,F,T,T,T,T,T,T,T,T,T,T
dʰi.cont,F,T,F,F,F,F,F,F,F,F,F,F
dʰi.delrel,F,F,F,F,F,F,F,F,F,F,F,T
dʰi.voice,T,F,T,T,T,T,F,T,F,T,T,F
dʰi.spread,F,F,F,F,F,F,T,F,F,F,T,F
dʰi.ant,T,T,T,T,T,T,T,T,T,T,T,T
ḱ.cons,T,T,T,T,T,T,T,T,T,T,T,T
ḱ.sibilant,F,F,F,T,T,F,F,T,F,T,F,F
ḱ.obstr,T,T,T,T,T,T,T,T,T,T,T,T
ḱ.cor,F,F,F,T,T,T,F,T,F,T,T,F
ḱ.cont,F,F,T,T,T,T,F,T,F,T,T,F
ḱ.delrel,F,F,F,F,F,F,F,F,F,F,T,F
ḱ.distr,F,F,F,T,F,T,F,F,F,F,T,F
ḱ.ant,F,F,F,F,T,T,F,T,F,T,F,F
ḱ.high,T,T,F,F,F,F,T,F,T,F,F,T
ḱ.back,T,T,F,F,F,F,T,F,T,F,F,T
ḱi.cons,T,T,T,T,T,T,T,T,T,T,T,T
ḱi.sibilant,F,F,F,T,T,F,F,T,F,T,F,F
ḱi.obstr,T,T,T,T,T,T,T,T,T,T,T,T
ḱi.cor,F,F,F,T,T,T,F,T,F,T,T,T
ḱi.cont,T,F,T,T,T,T,F,T,F,T,T,T
ḱi.delrel,F,F,F,F,F,F,F,F,F,F,T,T
ḱi.distr,F,F,F,T,F,T,F,F,F,F,T,T
ḱi.ant,F,F,F,F,T,T,F,T,F,T,F,F
ḱi.high,T,T,F,F,F,F,T,F,T,F,F,F
ḱi.back,T,T,F,F,F,F,T,F,T,F,F,F
ǵ.distr,F,F,T,T,F,T,F,F,F,F,T,F
ǵ.cons,T,T,T,T,T,T,T,T,T,T,T,T
ǵ.sibilant,F,F,F,T,T,F,F,F,F,T,T,F
ǵ.obstr,T,T,T,T,T,T,T,T,T,T,T,T
