PIE			OIr		Lat		OE		Lith	OCS		Alb		Grk		Arm		Hit		Av		Skt		TochB
p			∅		p		f		p		p		p		p		h		p		p		p		p
b			b		b		p		b		b		b		b		p		p		b		b		p
bʰ			b		f		b		b		b		b		pʰ		b		p		b		bʰ		p
t			t		t		θ		t		t		t		t		tʰ		t		t		t		t
ti			t		t		θ		t		t		t		t		tʰ		t		t		t		c
d			d		d		t		d		d		d		d		t		t		d		d		t
di			d		d		t		d		d		d		d		t		t		d		d		ʦ
dʰ			d		f		d		d		d		d		tʰ		d		t		d		dʰ		t
dʰi			d		f		d		d		d		d		tʰ		d		t		d		dʰ		ʦ
ḱ			k		k		h		ʃ		s		θ		k		s		k		s		ɕ		k
ḱi			x		k		h		ʃ		s		θ		k		s		k		s		ɕ		ɕ
ǵ			g		g		c		ʒ		z		ð		g		ʦ		k		z		ʤ		k
ǵi			g		g		c		ʒ		z		ð		g		ʦ		k		z		ʤ		ɕ
ǵʰ			g		h		g		ʒ		z		d		kʰ		ʣ		k		z		ɦ		k
ǵʰi			g		h		g		ʒ		z		d		kʰ		ʣ		k		z		ɦ		ɕ
k			k		k		h		k		k		k		k		kʰ		k		k		k		k
ki			k		k		h		k		ʧ		c		k		kʰ		k		ʧ		ʧ		ɕ
g			g		g		c		g		g		g		g		k		k		g		g		k
gi			g		g		c		g		ʒ		ɟ		g		k		k		ʒ		ʤ		ɕ
gʰ			g		h		g		g		g		g		kʰ		g		k		g		gʰ		k
gʰi			g		h		g		g		ʒ		ɟ		kʰ		g		k		ʤ		ɦ		ɕ
kʷ			k		kʷ		hʷ		k		k		k		p		kʰ		kʷ		k		k		k
kʷi			k		kʷ		hʷ		k		ʧ		s		p		kʰ		kʷ		ʧ		ʧ		ɕ
gʷ			b		w		kʷ		g		g		g		b		k		kʷ		g		g		k
gʷi			b		w		kʷ		g		ʒ		z		z		k		kʷ		ʤ		ʤ		ɕ
gʷʰ			g		f		w		g		g		g		pʰ		g		kʷ		g		gʰ		k
gʷʰi		g		f		w		g		ʒ		z		pʰ		ʤ		kʷ		ʤ		ɦ		ɕ
s			s		s		s		s		s		ʃ		h		h		s		h		s		s
si			s		s		s		s		s		ʃ		h		h		s		h		s		ʂ
i̯			∅		j		y		j		j		ɟ		h		∅		j		j		j		j
u̯			f		w		w		ʋ		v		v		∅		g		w		w		ʋ		w
m			m		m		m		m		m		m		m		m		m		m		m		m
n			n		n		n		n		n		n		n		n		n		n		n		n
ni			n		n		n		n		n		n		n		n		n		n		n		ɲ
l			l		l		l		l		l		l		l		l		l		r		r		l
r			r		r		r		r		r		r		r		r		r		r		r		r
h₁			∅		∅		∅		∅		∅		∅		∅		∅		h		∅		∅		∅
h₂			∅		∅		∅		∅		∅		∅		∅		∅		h		∅		∅		∅
h₃			∅		∅		∅		∅		∅		∅		∅		∅		h		∅		∅		∅
